category_code,views,conversion_rate_pct,quadrant
electronics.smartphone,149078,3.43,"Star — high traffic, high CVR"
electronics.clocks,17190,1.48,"Star — high traffic, high CVR"
computers.notebook,16916,1.00,"Opportunity — high traffic, low CVR"
electronics.audio.headphone,15008,3.38,"Star — high traffic, high CVR"
electronics.video.tv,14198,1.83,"Star — high traffic, high CVR"
appliances.environment.vacuum,10824,1.44,"Star — high traffic, high CVR"
appliances.kitchen.refrigerators,10476,1.81,"Star — high traffic, high CVR"
apparel.shoes,10412,0.40,"Opportunity — high traffic, low CVR"
appliances.kitchen.washer,10110,2.37,"Star — high traffic, high CVR"
furniture.living_room.cabinet,6086,0.69,"Opportunity — high traffic, low CVR"
computers.desktop,6006,1.10,"Opportunity — high traffic, low CVR"
furniture.bedroom.bed,5908,0.85,"Opportunity — high traffic, low CVR"
auto.accessories.player,5856,0.79,"Opportunity — high traffic, low CVR"
apparel.shoes.keds,5194,0.65,"Opportunity — high traffic, low CVR"
appliances.environment.air_heater,4070,1.18,"Opportunity — high traffic, low CVR"
electronics.tablet,4024,1.39,"Star — high traffic, high CVR"
electronics.telephone,3970,1.56,"Star — high traffic, high CVR"
furniture.living_room.sofa,3910,0.56,"Opportunity — high traffic, low CVR"
construction.tools.drill,3846,0.83,"Opportunity — high traffic, low CVR"
electronics.audio.subwoofer,3796,1.32,"Star — high traffic, high CVR"
kids.carriage,3264,1.41,"Niche — low traffic, high CVR"
appliances.kitchen.blender,2782,1.94,"Niche — low traffic, high CVR"
appliances.kitchen.oven,2772,0.94,"Underdog — low traffic, low CVR"
auto.accessories.videoregister,2562,0.78,"Underdog — low traffic, low CVR"
auto.accessories.alarm,2546,1.81,"Niche — low traffic, high CVR"
accessories.bag,2528,0.79,"Underdog — low traffic, low CVR"
appliances.kitchen.kettle,2500,1.68,"Niche — low traffic, high CVR"
appliances.environment.water_heater,2448,3.43,"Niche — low traffic, high CVR"
appliances.sewing_machine,2386,0.75,"Underdog — low traffic, low CVR"
construction.tools.saw,2324,1.12,"Underdog — low traffic, low CVR"
computers.peripherals.printer,2240,1.43,"Niche — low traffic, high CVR"
appliances.iron,2216,1.99,"Niche — low traffic, high CVR"
furniture.kitchen.table,2214,0.27,"Underdog — low traffic, low CVR"
appliances.kitchen.meat_grinder,2006,1.79,"Niche — low traffic, high CVR"
appliances.kitchen.microwave,1996,2.30,"Niche — low traffic, high CVR"
sport.bicycle,1700,0.47,"Underdog — low traffic, low CVR"
furniture.kitchen.chair,1686,2.49,"Niche — low traffic, high CVR"
kids.toys,1554,0.51,"Underdog — low traffic, low CVR"
construction.tools.generator,1508,0.66,"Underdog — low traffic, low CVR"
construction.tools.welding,1478,0.81,"Underdog — low traffic, low CVR"
appliances.kitchen.hood,1470,1.22,"Niche — low traffic, high CVR"
appliances.kitchen.hob,1452,1.10,"Underdog — low traffic, low CVR"
appliances.kitchen.mixer,1448,1.38,"Niche — low traffic, high CVR"
apparel.costume,1360,0.44,"Underdog — low traffic, low CVR"
computers.peripherals.monitor,1350,1.19,"Underdog — low traffic, low CVR"
electronics.audio.acoustic,1336,0.60,"Underdog — low traffic, low CVR"
computers.components.videocards,1258,0.95,"Underdog — low traffic, low CVR"
appliances.kitchen.coffee_machine,1226,1.14,"Underdog — low traffic, low CVR"
kids.skates,1158,0.86,"Underdog — low traffic, low CVR"
auto.accessories.compressor,1104,0.91,"Underdog — low traffic, low CVR"
appliances.kitchen.dishwasher,1084,1.11,"Underdog — low traffic, low CVR"
appliances.personal.scales,980,1.84,"Niche — low traffic, high CVR"
